2,0,2,1,451.5416667,1912.143343,0,0,0
1,1,1,1,11.27882038,85.13129747,0,0,0
2,1,1,1,69.80519481,863.4425742,0,0,0
1,0,2,0.976190476,195.7317073,669.9085858,0,0.023809524,200
3,1,1,1,0,0,0,0,0
2,1,2,1,245.7446809,1553.062513,0,0,0
1,1,0,1,22.66954644,116.7072211,0,0,0
1,0,1,0.968379447,259.2693878,843.9374438,0,0.059288538,914.1333333
2,0,0,0.945299145,739.920434,2313.493685,0.018803419,0.058119658,1553.235294
3,1,2,1,0,0,0,0,0
0,0,0,0.437616149,519.3698931,876.8673299,0.002435117,0.632489587,574.6564336
0,0,1,0.622906899,653.1413978,1044.628801,0,0.420964501,667.0461416
3,0,0,0.974468085,52.40174672,393.0131004,0.025531915,0,0
1,0,0,0.912455516,241.6333853,678.8218054,0.013523132,0.148754448,620.0861244
3,2,0,1,0,0,0,0,0
3,0,2,1,0,0,0,0,0
0,0,2,0.763671875,933.3810742,1707.360711,0,0.2578125,1097.606061
3,0,1,1,0,0,0,0,0
3,1,0,1,0,0,0,0,0
1,1,2,1,28.59550562,153.6174088,0,0,0
2,0,1,0.989690722,446.9895833,1749.258006,0,0.010309278,150
2,1,0,1,61.86732187,754.831743,0,0,0
